,bank_accounts_open,credit_cards_held,homes_owned,household_size,average_balance,q1_balance,q2_balance,q3_balance,q4_balance,income_level,credit_rating,reward_Air Miles,reward_Cash Back,reward_Points,mailer_type_Letter,mailer_type_Postcard,overdraft_protection_No,overdraft_protection_Yes,own_your_home_No,own_your_home_Yes
0,1,2,1,4,1160.75,1669.0,877.0,1095.0,1002.0,2,2,1,0,0,1,0,1,0,1,0
1,1,2,2,5,147.25,39.0,106.0,78.0,366.0,1,1,1,0,0,1,0,1,0,0,1
2,2,2,1,2,276.5,367.0,352.0,145.0,242.0,2,1,1,0,0,0,1,1,0,0,1
3,2,1,1,4,1219.0,1578.0,1760.0,1119.0,419.0,1,2,1,0,0,1,0,1,0,1,0
4,1,2,1,6,1211.0,2140.0,1357.0,982.0,365.0,1,1,1,0,0,1,0,1,0,0,1
5,1,3,1,4,1114.75,1847.0,1365.0,750.0,497.0,1,2,1,0,0,1,0,1,0,1,0
6,1,2,1,3,283.75,468.0,188.0,347.0,132.0,1,1,1,0,0,1,0,1,0,1,0
7,1,4,1,4,278.5,132.0,391.0,285.0,306.0,0,1,0,1,0,0,1,1,0,0,1
8,1,2,1,4,1005.0,894.0,891.0,882.0,1353.0,1,0,1,0,0,0,1,1,0,0,1
9,2,3,2,4,974.25,1814.0,1454.0,514.0,115.0,2,0,1,0,0,1,0,1,0,0,1
10,1,3,1,2,1135.25,762.0,827.0,1454.0,1498.0,1,1,1,0,0,0,1,1,0,0,1
11,1,3,2,5,1221.0,551.0,1652.0,896.0,1785.0,2,1,0,1,0,0,1,1,0,0,1
12,1,1,1,2,1150.5,1756.0,1402.0,969.0,475.0,1,0,0,0,1,1,0,1,0,0,1
13,1,1,1,3,1052.25,1996.0,1038.0,439.0,736.0,0,2,0,0,1,1,0,1,0,1,0
14,2,3,1,3,1013.25,1819.0,901.0,854.0,479.0,0,2,1,0,0,1,0,1,0,0,1
15,1,2,1,2,1012.25,1715.0,1486.0,713.0,135.0,2,0,0,1,0,1,0,1,0,1,0
16,2,1,1,4,1217.0,567.0,1161.0,966.0,2174.0,0,1,0,0,1,0,1,1,0,0,1
17,2,2,1,4,1185.25,272.0,1523.0,2042.0,904.0,0,2,1,0,0,0,1,1,0,0,1
18,1,1,1,4,1059.75,1876.0,1068.0,900.0,395.0,1,0,0,0,1,0,1,1,0,1,0
19,1,2,1,5,1086.75,764.0,997.0,921.0,1665.0,1,2,0,1,0,1,0,1,0,0,1
20,1,2,1,4,1175.25,1234.0,1102.0,1423.0,942.0,0,2,0,0,1,0,1,1,0,0,1
21,1,2,2,3,811.75,720.0,407.0,1224.0,896.0,1,0,0,0,1,1,0,1,0,0,1
22,1,1,1,3,1754.0,1876.0,1717.0,1507.0,1916.0,2,2,0,1,0,1,0,1,0,0,1
23,1,3,1,5,689.5,714.0,544.0,753.0,747.0,2,2,1,0,0,0,1,1,0,1,0
24,1,2,1,4,1018.25,1709.0,1087.0,732.0,545.0,0,0,0,1,0,1,0,1,0,0,1
25,1,3,2,5,1130.25,1931.0,1097.0,921.0,572.0,1,2,0,1,0,0,1,0,1,0,1
26,2,3,2,1,877.0,245.0,816.0,1174.0,1273.0,0,0,1,0,0,0,1,1,0,0,1
27,1,1,1,2,769.5,54.0,515.0,1204.0,1305.0,1,0,1,0,0,1,0,1,0,1,0
28,1,1,1,3,709.0,551.0,866.0,790.0,629.0,1,0,0,1,0,0,1,0,1,0,1
29,1,1,1,1,690.0,687.0,554.0,931.0,588.0,2,1,0,0,1,0,1,1,0,0,1
30,1,2,1,3,863.25,1306.0,1083.0,632.0,432.0,1,2,0,0,1,1,0,1,0,1,0
31,2,1,1,5,733.0,781.0,683.0,558.0,910.0,0,0,0,1,0,0,1,1,0,0,1
32,1,2,2,4,771.0,82.0,456.0,1304.0,1242.0,0,2,0,0,1,0,1,1,0,1,0
33,3,1,1,4,659.5,715.0,626.0,746.0,551.0,0,1,1,0,0,0,1,1,0,0,1
34,1,2,1,2,1258.0,1713.0,1531.0,1280.0,508.0,1,0,1,0,0,1,0,1,0,1,0
35,1,2,1,4,875.25,995.0,693.0,946.0,867.0,2,2,0,0,1,1,0,1,0,0,1
36,2,2,2,2,675.75,605.0,632.0,576.0,890.0,1,1,1,0,0,0,1,1,0,0,1
37,1,2,1,4,1095.75,1866.0,1367.0,691.0,459.0,1,1,1,0,0,0,1,1,0,1,0
38,1,1,2,8,1285.0,206.0,1499.0,1545.0,1890.0,2,0,1,0,0,0,1,1,0,1,0
39,1,2,1,3,1079.25,1832.0,1021.0,764.0,700.0,0,1,1,0,0,0,1,0,1,0,1
40,1,1,1,3,1119.75,1012.0,1148.0,1274.0,1045.0,0,2,1,0,0,1,0,0,1,0,1
41,1,3,1,3,172.0,340.0,26.0,95.0,227.0,2,1,1,0,0,1,0,1,0,0,1
42,1,1,1,4,834.75,185.0,868.0,1503.0,783.0,1,1,0,1,0,0,1,1,0,1,0
43,2,3,1,3,1044.75,737.0,1252.0,1232.0,958.0,2,1,1,0,0,1,0,1,0,0,1
44,1,2,1,2,838.75,997.0,910.0,504.0,944.0,1,0,0,0,1,0,1,1,0,1,0
45,1,2,1,5,851.25,206.0,467.0,1744.0,988.0,2,0,1,0,0,0,1,0,1,0,1
46,1,2,1,6,1040.25,574.0,911.0,1498.0,1178.0,1,1,1,0,0,1,0,1,0,0,1
47,1,2,1,3,987.0,740.0,439.0,1240.0,1529.0,0,2,1,0,0,1,0,0,1,1,0
48,1,1,2,3,822.0,794.0,922.0,757.0,815.0,1,0,1,0,0,0,1,1,0,1,0
49,2,1,1,5,650.5,689.0,725.0,513.0,675.0,1,2,0,0,1,1,0,0,1,0,1
50,1,2,1,2,931.75,1536.0,1232.0,597.0,362.0,0,2,1,0,0,0,1,1,0,0,1
51,1,1,1,3,988.0,1983.0,1127.0,585.0,257.0,1,1,0,1,0,1,0,1,0,0,1
52,1,1,1,4,1145.5,198.0,1671.0,1573.0,1140.0,1,1,0,0,1,1,0,1,0,1,0
53,3,1,1,4,1162.5,688.0,1331.0,1952.0,679.0,1,0,0,0,1,0,1,1,0,1,0
54,1,2,2,3,954.25,1312.0,1313.0,942.0,250.0,1,2,1,0,0,0,1,1,0,0,1
55,1,4,2,5,1301.25,2024.0,1796.0,1134.0,251.0,2,1,0,0,1,0,1,1,0,0,1
56,1,2,1,4,1148.75,850.0,1559.0,1762.0,424.0,1,1,0,1,0,1,0,1,0,0,1
57,1,1,1,2,1192.75,1787.0,908.0,1343.0,733.0,0,1,1,0,0,0,1,1,0,0,1
